dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1199-5T/Short/short,toto_2.0_1b,0.419751913505688,0.419751913505688,0.0493691377472459,0.2496744282135004,0.0265378031814307,0.0217944843016732,9.763610289004168,0.6478826386821058,1.3905639370990657,0.1059620036996871,0.1051636916589489,Infrastructure,38
ds-1199-5T/Short/medium,toto_2.0_1b,0.3752407854760599,0.3752407854760599,0.0689044751619037,0.3198010287290451,0.0596661394799661,0.04982149338469,12.451539091692196,0.6125690046648296,1.3001736137178337,0.1462492874930908,0.1469727429233729,Infrastructure,38
ds-1199-5T/Short/long,toto_2.0_1b,0.368943206608644,0.368943206608644,0.0619135271038925,0.2799190289346153,0.0450198212562248,0.0395563997652949,9.81530718464861,0.6074069530460151,1.289217193696053,0.1314110470162134,0.1342801010949167,Infrastructure,38
ds-1200-T/Short/short,toto_2.0_1b,0.093381479051378,0.093381479051378,0.0215932885805765,0.0873450509915769,0.0062640892134772,0.0116340040905724,3.4300044096645017,0.3055838330988373,2.0296330920349797,0.1434187555819556,0.1457652751563563,Infrastructure,3
ds-1200-T/Short/medium,toto_2.0_1b,0.0667393790351019,0.0667393790351019,0.0140502254168192,0.0557245111920111,0.0039665788412094,0.0072952650113109,2.2246975145608845,0.2583396582700805,1.879414237341659,0.1022150213523293,0.102192122144145,Infrastructure,3
ds-1200-T/Short/long,toto_2.0_1b,0.0593239348611713,0.0593239348611713,0.0125545525256498,0.0493531261072346,0.0040470794395164,0.0070060314590543,1.9667677068775395,0.243565052626955,1.7908984835035606,0.092311802685784,0.0922541647364596,Infrastructure,3
ds-1201-10S/Short/short,toto_2.0_1b,0.5185402560763889,0.5185402560763889,0.0994148491753472,0.3048137039521988,0.0706199069552951,0.0471879343070452,9.144159378660977,0.720097393465904,0.7369319219445174,0.1017389821673918,0.0948750462831218,Infrastructure,15
ds-1201-10S/Short/medium,toto_2.0_1b,0.466222511574074,0.466222511574074,0.1513946759259259,0.4589168823862961,0.0915456814236111,0.1076602165567429,13.455620530681724,0.682804885435125,0.7969425151144568,0.1767018021999918,0.1724268575258952,Infrastructure,15
ds-1201-10S/Short/long,toto_2.0_1b,0.4878956886574074,0.4878956886574074,0.1883485062210648,0.5938166987626895,0.1205543077256944,0.1499063492522944,17.77933828684014,0.698495303246491,0.8152557423635826,0.2198328328746675,0.2155965730071676,Infrastructure,15
ds-1202-5T/Short/short,toto_2.0_1b,0.5136287265353733,0.5136287265353733,0.0688334147135416,0.2723806903717123,0.0153991950882805,0.0284641172489223,10.880154175522383,0.7166789563921724,3.752662528477973,0.3604243905849297,0.3604836909616146,Infrastructure,3
ds-1202-5T/Short/medium,toto_2.0_1b,1.282330322265625,1.282330322265625,0.1505881945292154,0.6136925408826527,0.0267490519417656,0.0501588923441415,24.144417432222205,1.1324002482627884,4.19410277824108,0.5577377486575081,0.5574067765365512,Infrastructure,3
ds-1202-5T/Short/long,toto_2.0_1b,1.1399048605082946,1.1399048605082946,0.13399904039171,0.54334255409735,0.0249011852123119,0.0457057979746371,21.393716666477957,1.0676632711245126,4.203938607677106,0.5276230385831996,0.527287627645242,Infrastructure,3
ds-1203-5T/Short/short,toto_2.0_1b,0.4156707763671875,0.4156707763671875,0.2400824705759684,0.4189753200820216,1.345611826578776,0.4075899796300957,6.4174228966833295,0.6447253495614916,1.5250458626698689,0.5678957383953775,0.5146094559810304,Infrastructure,1
ds-1203-5T/Short/medium,toto_2.0_1b,0.936225954691569,0.936225954691569,0.4691906611124674,0.8431046141477395,1.7489917755126954,0.7906869916163612,7.612419304975791,0.9675876987082715,1.7006626141258374,0.8246642834713598,0.68409673225988,Infrastructure,1
ds-1203-5T/Short/long,toto_2.0_1b,0.8394305759006077,0.8394305759006077,0.458266759801794,0.824632951668577,1.7420134367766205,0.8744481484940121,8.121944606933097,0.9162044400135856,1.7069109790762278,0.8537620311464239,0.7242035775833098,Infrastructure,1
ds-1204-5T/Short/short,toto_2.0_1b,1.2026321411132812,1.2026321411132812,0.1876712163289388,0.7584172137925101,0.0483232299486796,0.0736285867960524,19.61258253974919,1.096645859479386,1.9639879719198616,0.3361012202431377,0.3042493178612145,Infrastructure,8
ds-1204-5T/Short/medium,toto_2.0_1b,1.3309235466851128,1.3309235466851128,0.2101253933376736,0.8103144495852534,0.0722369141048855,0.0832966776048753,21.957662201138728,1.153656598249719,1.9970711065353863,0.3637437279175666,0.3369434702772427,Infrastructure,8
ds-1204-5T/Short/long,toto_2.0_1b,1.3849270290798612,1.3849270290798612,0.2155781004163954,0.828570648688419,0.0848175790574815,0.0852077535893277,26.104787030282655,1.1768292268123957,2.0371847651710753,0.3731827965068134,0.3599187518241951,Infrastructure,8
ds-1205-5T/Short/short,toto_2.0_1b,0.9474919395885248,0.9474919395885248,0.0980992540545847,0.5125738498850952,0.1008477315820496,0.024066032667084,14.103208950614189,0.9733919763325176,4.682716964752901,0.4719281156618905,0.4246494077188362,Infrastructure,29
ds-1205-5T/Short/medium,toto_2.0_1b,1.136529751481681,1.136529751481681,0.1180661256285919,0.6290737175937575,0.0306607827372934,0.0317081671583188,18.014659320314554,1.066081493827597,4.749249480055245,0.5259686890732258,0.4854418600742668,Infrastructure,29
ds-1205-5T/Short/long,toto_2.0_1b,1.012124154394157,1.012124154394157,0.1050590973095266,0.5597471790021957,0.0195849753583223,0.0282904084624138,16.20130993894017,1.0060438133571306,4.751633057550041,0.4962033195219343,0.4534240356226053,Infrastructure,29
ds-1206-5T/Short/short,toto_2.0_1b,0.3707578447129991,0.3707578447129991,0.1180810928344726,0.4493510267351857,0.1241613599989149,0.1036097831130379,13.44241083829294,0.6088988788895896,1.2200989511490756,0.2366084460208059,0.2342398279687753,Infrastructure,3
ds-1206-5T/Short/medium,toto_2.0_1b,2.355740017361111,2.355740017361111,0.5609433915879991,1.982147274386927,0.6696063147650825,0.3740516328728679,36.18998637998027,1.53484201706922,2.32052609759025,0.8480897479835118,0.772297788226488,Infrastructure,3
ds-1206-5T/Short/long,toto_2.0_1b,1.5213306568287035,1.5213306568287035,0.315685432339892,1.2082748743364553,0.1962755368079668,0.2324298856541824,30.541608146620373,1.233422335142632,1.9385549168386795,0.4961589632362816,0.4859222766014822,Infrastructure,3
ds-1207-10S/Short/short,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1
ds-1207-10S/Short/medium,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1
ds-1207-10S/Short/long,toto_2.0_1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1
