dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates
ds-1224-5T/Short/long,naive,0.6839184796368635,0.6839184796368635,0.658652185510706,1.3133527876567883,7.261830873842593,1.3083215784143518,9.928263831817276,0.8269936394174162,1.6963197297734955,1.3510196984432978,1.1116879457405542,0.8736699422200521,Infrastructure,1
ds-1225-T/Short/short,naive,0.4195826108763818,0.4195826108763818,0.2715978817063935,0.4938638404940773,4.436572597789116,0.6781876959768283,6.241748653621384,0.6477519670957255,1.396003456770581,0.5853345122418768,0.5382260942390128,0.4831100982873618,Infrastructure,49
ds-1225-T/Short/medium,naive,0.801120223480017,0.801120223480017,0.3507406844573767,0.6723629149297636,5.062712252869898,0.8046153373458759,11.786410349305877,0.8950531958939743,1.961840770150356,0.7687781884647146,0.7848614916902374,0.5488220630048894,Infrastructure,49
ds-1225-T/Short/long,naive,0.9759510227702192,0.9759510227702192,0.3898578485213529,0.7418747609906943,5.491395030234316,0.8368781887755102,12.342199705294105,0.9879023346314244,2.174298797744592,0.8580478268102549,0.820708833407415,0.5682248116260393,Infrastructure,49
ds-1226-10S/Short/short,naive,0.8985742067823222,0.8985742067823222,0.5717851586435355,0.7583101758036225,49.037702205882354,1.1359695973115809,6.3467470514020095,0.9479315411897224,1.8173477623402647,1.0962104682116778,0.9045628903798252,0.7598689180261948,Infrastructure,68
ds-1226-10S/Short/medium,naive,0.8423111979166666,0.8423111979166666,0.5696739047181373,0.7505523501168423,35.93484068627451,1.138359375,6.926716632020498,0.9177751347234608,1.754169681113976,1.088833913635581,0.9326030824562008,0.7591161790236928,Infrastructure,68
ds-1226-10S/Short/long,naive,0.8750040849673203,0.8750040849673203,0.5733985651552288,0.7512676949533299,11.767394812091505,1.1364699499591504,7.604589428735173,0.9354165301978152,1.787888181324791,1.0959529629146392,0.9728687756853668,0.7601193576388889,Infrastructure,68
ds-1227-10S/Short/short,naive,5.958728594539141,5.958728594539141,0.7651422304095644,1.0459996078934808,8.217236821338384,1.2377138326625632,15.712313999487458,2.4410507152738843,4.186185555875293,1.3121510885001613,1.26540396846656,0.8116674064867424,Infrastructure,66
ds-1227-10S/Short/medium,naive,3.6460061553030303,3.6460061553030303,0.7860673137626263,1.1644680175231537,8.775633943602694,1.2890046296296296,17.772806633148022,1.9094517944433764,3.3843167580534903,1.3932275172730666,1.3941957781880383,0.8424491661405724,Infrastructure,66
ds-1227-10S/Short/long,naive,3.493957018097643,3.493957018097643,0.777469552293771,1.193368988989176,8.225765993265993,1.2936626683501684,19.217507225130007,1.869212940811625,3.3129973212040795,1.3779888250445071,1.457364951367299,0.8430920533459596,Infrastructure,66
ds-1228-5T/Short/short,naive,13.527994791666666,13.527994791666666,1.2683376312255858,2.1663400641731414,3.62244618733724,0.6959026336669922,58.67803087262397,3.6780422498479632,4.051094551117395,1.3969811431740644,1.5598680799073086,0.4963855743408203,Infrastructure,4
ds-1228-5T/Short/medium,naive,9.024463907877603,9.024463907877603,0.9981586456298828,2.2583245797389995,5.45430908203125,0.8453069051106771,61.602757992524886,3.004074550985312,3.9065693559494,1.2980290306426294,1.605650298802857,0.5620779037475586,Infrastructure,4
ds-1228-5T/Short/long,naive,6.00970775462963,6.00970775462963,0.8184442025643808,2.081250067366428,14.52777054398148,0.8812460440176505,58.39948519347663,2.451470529015112,3.342857167013395,1.1160411826129844,1.4965383107699957,0.5756319399233217,Infrastructure,4
ds-1229-T/Short/short,naive,2.865547078450521,2.865547078450521,0.5712864685058594,1.0798269130238554,7.507513020833334,1.1671591186523438,22.70957777824964,1.6927926861995006,3.850942449772888,1.299622411229381,1.2841081244337833,0.7972802734375,Infrastructure,20
ds-1229-T/Short/medium,naive,3.2162772623697915,3.2162772623697915,0.6067314656575521,1.212389586946255,6.83571533203125,1.170743204752604,29.022529018635407,1.7933982442195575,3.471828202828484,1.1745675679135243,1.1917912827500572,0.784788564046224,Infrastructure,20
ds-1229-T/Short/long,naive,2.9017377387152776,2.9017377387152776,0.5756679958767361,1.1348618802008583,6.606554542824074,1.149343532986111,26.597740644084272,1.703448777837267,3.3904609082556227,1.1457813475506744,1.185951793840619,0.7722415726273149,Infrastructure,20
ds-1230-5T/Short/short,naive,1.599784519361413,1.599784519361413,0.5066318235535553,1.0681698930848915,3.986184117413949,0.7348127724467844,19.35742541490352,1.2648258849981735,2.1259350024905923,0.8515530397052999,0.9098262302261432,0.5614622696586277,Infrastructure,23
ds-1230-5T/Short/medium,naive,1.7826516856317935,1.7826516856317935,0.5884855850883152,1.3464700491889974,4.409722104279891,0.7783201355865036,20.545010906253825,1.3351597977889365,1.969202474758402,0.8679464978159478,0.9009829131121962,0.5650545866593071,Infrastructure,23
ds-1230-5T/Short/long,naive,2.059209880736715,2.059209880736715,0.6644698728109903,1.5429069046431807,5.462594982890499,0.8324703886121175,21.96112172797876,1.4349947319543426,2.098993355193145,0.9719323818400464,0.9893474852984918,0.6025849027526168,Infrastructure,23
ds-1231-5T/Short/short,naive,34.522542317708336,34.522542317708336,1.7490834554036458,3.971883778500141,2.874494934082031,0.82413330078125,75.9913020935373,5.875588678397113,2.3495858361148514,0.6994399945164901,0.6541937804702959,0.525506591796875,Infrastructure,8
ds-1231-5T/Short/medium,naive,21.746095784505208,21.746095784505208,1.231264877319336,3.4412355281715232,4.381455485026041,0.8862260182698568,95.477731336895,4.663270931921628,3.110515601903546,0.8212837441549741,0.8846904625312665,0.5830312093098958,Infrastructure,8
ds-1231-5T/Short/long,naive,24.41763057002315,24.41763057002315,1.297651954933449,4.267902035525768,4.2097570348668985,0.8808768378363715,148.9191877694254,4.941419894121846,3.560198686856075,0.9349334573744617,1.1080123927283505,0.5757579662181713,Infrastructure,8
